Frequency (Hz)	Level (dB)
1512.707520	-82.105606
1518.090820	-71.808800
1523.474121	-73.424728
1528.857422	-78.423927
1534.240723	-78.139137
1539.624023	-77.097626
1545.007324	-75.093536
1550.390625	-72.962914
1555.773926	-76.995506
1561.157227	-75.481155
1566.540527	-74.749245
1571.923828	-81.727608
1577.307129	-77.030968
1582.690430	-72.931427
1588.073730	-88.849754
1593.457031	-74.089287
1598.840332	-79.022865
1604.223633	-81.263954
1609.606934	-71.649673
1614.990234	-70.590179
1620.373535	-72.381554
1625.756836	-71.464149
1631.140137	-72.660103
1636.523438	-85.381676
1641.906738	-71.567230
1647.290039	-71.385941
1652.673340	-72.460648
1658.056641	-73.993271
1663.439941	-84.011864
1668.823242	-79.692574
1674.206543	-76.063629
1679.589844	-77.666382
1684.973145	-78.347443
1690.356445	-77.494057
1695.739746	-84.335503
1701.123047	-76.297005
1706.506348	-73.635483
1711.889648	-85.930115
1717.272949	-82.568634
1722.656250	-81.344154
1728.039551	-76.205811
1733.422852	-77.055222
1738.806152	-75.147552
1744.189453	-73.529839
1749.572754	-71.713158
1754.956055	-73.070511
1760.339355	-73.633476
1765.722656	-68.066139
1771.105957	-70.064781
1776.489258	-73.063644
1781.872559	-82.037148
1787.255859	-74.883278
1792.639160	-72.314026
1798.022461	-77.360863
1803.405762	-79.326782
1808.789062	-73.908951
1814.172363	-74.350182
1819.555664	-73.242798
1824.938965	-77.513756
1830.322266	-72.843323
1835.705566	-71.484726
1841.088867	-74.612556
1846.472168	-76.380409
1851.855469	-78.896973
1857.238770	-75.751129
1862.622070	-71.546318
1868.005371	-69.563835
1873.388672	-70.544075
1878.771973	-72.110176
1884.155273	-72.939407
1889.538574	-88.033714
1894.921875	-84.241478
1900.305176	-76.237946
1905.688477	-78.670891
1911.071777	-75.930199
1916.455078	-77.477211
1921.838379	-79.305405
1927.221680	-81.064034
1932.604980	-76.091888
1937.988281	-75.224701
1943.371582	-74.526337
1948.754883	-73.533798
1954.138184	-84.900337
1959.521484	-73.603371
1964.904785	-66.318123
1970.288086	-64.718887
1975.671387	-68.199158
1981.054688	-75.522141
1986.437988	-77.214668
1991.821289	-73.920670
1997.204590	-73.904778
2002.587891	-73.662918
2007.971191	-76.160248
2013.354492	-74.752365
2018.737793	-72.579742
2024.121094	-73.381447
2029.504395	-80.148491
2034.887695	-68.352959
2040.270996	-64.955536
2045.654297	-67.608383
2051.037598	-70.941948
2056.420898	-80.023590
2061.804199	-71.258362
2067.187500	-68.538139
2072.570801	-68.416138
2077.954102	-62.837326
2083.337402	-64.065300
2088.720703	-77.366203
2094.104004	-69.467384
2099.487305	-69.783867
2104.870605	-72.080734
2110.253906	-63.310040
2115.637207	-64.217468
2121.020508	-68.923355
2126.403809	-71.361252
2131.787109	-74.833633
2137.170410	-87.403755
2142.553711	-74.653458
2147.937012	-78.132675
2153.320312	-79.386887
2158.703613	-78.260231
2164.086914	-85.275063
2169.470215	-85.483841
2174.853516	-86.101730
2180.236816	-74.577110
2185.620117	-81.648056
2191.003418	-84.210213
2196.386719	-76.657112
2201.770020	-75.152367
2207.153320	-71.231483
2212.536621	-72.965034
2217.919922	-78.946671
2223.303223	-75.468407
2228.686523	-74.653198
2234.069824	-73.832542
2239.453125	-72.855576
2244.836426	-67.079178
2250.219727	-65.302811
2255.603027	-65.938141
2260.986328	-67.642471
2266.369629	-71.126419
2271.752930	-74.964447
2277.136230	-75.629883
2282.519531	-69.146523
2287.902832	-69.489319
2293.286133	-76.210823
2298.669434	-75.915680
2304.052734	-65.140549
2309.436035	-61.811855
2314.819336	-63.806183
2320.202637	-67.737831
2325.585938	-68.085403
2330.969238	-72.027672
2336.352539	-79.810066
2341.735840	-72.844612
2347.119141	-67.904640
2352.502441	-72.510620
2357.885742	-87.327003
2363.269043	-72.360954
2368.652344	-67.062996
2374.035645	-71.327339
2379.418945	-66.297997
2384.802246	-71.227150
2390.185547	-66.886993
2395.568848	-61.548298
2400.952148	-63.604256
2406.335449	-63.310825
2411.718750	-63.823486
2417.102051	-62.232098
2422.485352	-60.911083
2427.868652	-65.292038
2433.251953	-67.361572
2438.635254	-65.366371
2444.018555	-70.737747
2449.401855	-64.048241
2454.785156	-58.816830
2460.168457	-60.697266
2465.551758	-61.591114
2470.935059	-56.510799
2476.318359	-59.705936
2481.701660	-59.075867
2487.084961	-49.129902
2492.468262	-46.722626
2497.851562	-30.789579
2503.234863	-24.146597
2508.618164	-29.389727
2514.001465	-48.270397
2519.384766	-51.196766
2524.768066	-60.736374
2530.151367	-54.374268
2535.534668	-52.019741
2540.917969	-57.885727
2546.301270	-66.944237
2551.684570	-66.880768
2557.067871	-63.609245
2562.451172	-67.772942
2567.834473	-60.951500
2573.217773	-66.095100
2578.601074	-68.144562
2583.984375	-63.156349
2589.367676	-62.353161
2594.750977	-66.642967
2600.134277	-67.319527
2605.517578	-67.045395
2610.900879	-63.245411
2616.284180	-61.729088
2621.667480	-67.719170
2627.050781	-71.095642
2632.434082	-76.158493
2637.817383	-66.005867
2643.200684	-65.487946
2648.583984	-68.892357
2653.967285	-67.164543
2659.350586	-67.038574
2664.733887	-68.880707
2670.117188	-67.631706
2675.500488	-64.917816
2680.883789	-63.858009
2686.267090	-65.715561
2691.650391	-72.950264
2697.033691	-77.544830
2702.416992	-72.593193
2707.800293	-70.621696
2713.183594	-68.903397
2718.566895	-70.548538
2723.950195	-70.211609
2729.333496	-79.403419
2734.716797	-73.786743
2740.100098	-76.003265
2745.483398	-75.668655
2750.866699	-78.654152
2756.250000	-76.829819
2761.633301	-78.225510
2767.016602	-80.619919
2772.399902	-85.573906
2777.783203	-73.424942
2783.166504	-79.460037
2788.549805	-84.177925
2793.933105	-96.186913
2799.316406	-79.371162
2804.699707	-75.833626
2810.083008	-75.983620
