Frequency (Hz)	Level (dB)
1512.707520	-68.579384
1518.090820	-76.613220
1523.474121	-77.307777
1528.857422	-74.353287
1534.240723	-71.521141
1539.624023	-69.419395
1545.007324	-66.584007
1550.390625	-70.548141
1555.773926	-69.451675
1561.157227	-74.435883
1566.540527	-82.127869
1571.923828	-66.232635
1577.307129	-64.264877
1582.690430	-74.131363
1588.073730	-52.824360
1593.457031	-43.741524
1598.840332	-47.021271
1604.223633	-65.059067
1609.606934	-63.524555
1614.990234	-64.789970
1620.373535	-78.539841
1625.756836	-67.657967
1631.140137	-63.153503
1636.523438	-61.980774
1641.906738	-68.739632
1647.290039	-59.674412
1652.673340	-45.158375
1658.056641	-41.293175
1663.439941	-46.842178
1668.823242	-54.733379
1674.206543	-67.569641
1679.589844	-65.850975
1684.973145	-67.146225
1690.356445	-64.787292
1695.739746	-68.902481
1701.123047	-66.912262
1706.506348	-75.203140
1711.889648	-78.216690
1717.272949	-67.116547
1722.656250	-63.776047
1728.039551	-65.339020
1733.422852	-71.825989
1738.806152	-73.948334
1744.189453	-73.014488
1749.572754	-75.674026
1754.956055	-70.814697
1760.339355	-64.956261
1765.722656	-65.392227
1771.105957	-73.748772
1776.489258	-65.201546
1781.872559	-62.965378
1787.255859	-64.540092
1792.639160	-70.315788
1798.022461	-79.927704
1803.405762	-82.204132
1808.789062	-72.635101
1814.172363	-72.341072
1819.555664	-69.551933
1824.938965	-69.668945
1830.322266	-74.681328
1835.705566	-81.899635
1841.088867	-71.296722
1846.472168	-70.404266
1851.855469	-72.107529
1857.238770	-71.587479
1862.622070	-73.017235
1868.005371	-77.169456
1873.388672	-75.827957
1878.771973	-74.697601
1884.155273	-72.998962
1889.538574	-76.786301
1894.921875	-75.041237
1900.305176	-76.915810
1905.688477	-77.318367
1911.071777	-72.273849
1916.455078	-67.203659
1921.838379	-68.919891
1927.221680	-71.006294
1932.604980	-74.400902
1937.988281	-73.836548
1943.371582	-75.921227
1948.754883	-75.181725
1954.138184	-67.441437
1959.521484	-65.168541
1964.904785	-65.082664
1970.288086	-68.870613
1975.671387	-69.322258
1981.054688	-74.694885
1986.437988	-70.470764
1991.821289	-66.386925
1997.204590	-64.923172
2002.587891	-66.448334
2007.971191	-69.455116
2013.354492	-74.246986
2018.737793	-79.704941
2024.121094	-89.842834
2029.504395	-70.776382
2034.887695	-68.108780
2040.270996	-73.889618
2045.654297	-69.695663
2051.037598	-65.362671
2056.420898	-65.592125
2061.804199	-72.479492
2067.187500	-77.663979
2072.570801	-67.455284
2077.954102	-69.025383
2083.337402	-76.779221
2088.720703	-78.664528
2094.104004	-76.053192
2099.487305	-84.293312
2104.870605	-73.469498
2110.253906	-70.936783
2115.637207	-70.389542
2121.020508	-68.332588
2126.403809	-70.976883
2131.787109	-85.026756
2137.170410	-72.455597
2142.553711	-72.315239
2147.937012	-76.938866
2153.320312	-72.538445
2158.703613	-72.667091
2164.086914	-71.548920
2169.470215	-67.757706
2174.853516	-69.592880
2180.236816	-76.983864
2185.620117	-67.435036
2191.003418	-73.465988
2196.386719	-82.093719
2201.770020	-68.994072
2207.153320	-66.042747
2212.536621	-66.403130
2217.919922	-70.161613
2223.303223	-70.720505
2228.686523	-70.196518
2234.069824	-70.953232
2239.453125	-72.634857
2244.836426	-72.320732
2250.219727	-77.311890
2255.603027	-68.695816
2260.986328	-72.844002
2266.369629	-82.518219
2271.752930	-68.902466
2277.136230	-69.727531
2282.519531	-73.724777
2287.902832	-72.179794
2293.286133	-81.953682
2298.669434	-73.136070
2304.052734	-71.149017
2309.436035	-69.948685
2314.819336	-71.390472
2320.202637	-73.867195
2325.585938	-68.806580
2330.969238	-76.355049
2336.352539	-69.916588
2341.735840	-64.914543
2347.119141	-62.943218
2352.502441	-67.252258
2357.885742	-88.156059
2363.269043	-74.539368
2368.652344	-64.485527
2374.035645	-64.557350
2379.418945	-65.120033
2384.802246	-61.112572
2390.185547	-60.652565
2395.568848	-64.262932
2400.952148	-70.186958
2406.335449	-69.710197
2411.718750	-69.434799
2417.102051	-78.512451
2422.485352	-78.476379
2427.868652	-67.315918
2433.251953	-66.107376
2438.635254	-65.146812
2444.018555	-62.793598
2449.401855	-70.191681
2454.785156	-77.061058
2460.168457	-64.977852
2465.551758	-63.694061
2470.935059	-65.928986
2476.318359	-66.596565
2481.701660	-70.523056
2487.084961	-70.124931
2492.468262	-69.957382
2497.851562	-66.264961
2503.234863	-64.358986
2508.618164	-67.387459
2514.001465	-69.546951
2519.384766	-71.672775
2524.768066	-83.012711
2530.151367	-66.284012
2535.534668	-66.300583
2540.917969	-73.781174
2546.301270	-65.810440
2551.684570	-66.623589
2557.067871	-77.085236
2562.451172	-67.738869
2567.834473	-65.943321
2573.217773	-75.938965
2578.601074	-68.445091
2583.984375	-66.008438
2589.367676	-67.065475
2594.750977	-71.989235
2600.134277	-78.794868
2605.517578	-70.761581
2610.900879	-70.611137
2616.284180	-77.573975
2621.667480	-72.874069
2627.050781	-75.738808
2632.434082	-75.915901
2637.817383	-71.714806
2643.200684	-74.164604
2648.583984	-72.266907
2653.967285	-68.990517
2659.350586	-69.634087
2664.733887	-71.740776
2670.117188	-69.799599
2675.500488	-68.057594
2680.883789	-69.759003
2686.267090	-67.095215
2691.650391	-66.277321
2697.033691	-67.911850
2702.416992	-71.387741
2707.800293	-68.352837
2713.183594	-76.144310
2718.566895	-76.528236
2723.950195	-70.186050
2729.333496	-69.196869
2734.716797	-69.275093
2740.100098	-68.082237
2745.483398	-66.768715
2750.866699	-67.837616
2756.250000	-63.277531
2761.633301	-55.154339
2767.016602	-53.133747
2772.399902	-56.540752
2777.783203	-63.237408
2783.166504	-71.375458
2788.549805	-66.203911
2793.933105	-64.929718
2799.316406	-67.510048
2804.699707	-73.852501
2810.083008	-64.867554
2815.466309	-64.408562
2820.849609	-71.201538
2826.232910	-73.861702
2831.616211	-70.791199
2836.999512	-67.658669
2842.382812	-68.373154
2847.766113	-72.686081
2853.149414	-68.198959
2858.532715	-64.052757
2863.916016	-63.803543
2869.299316	-66.661224
2874.682617	-62.584614
2880.065918	-67.124413
2885.449219	-63.364532
2890.832520	-63.767494
2896.215820	-61.203182
2901.599121	-62.187172
2906.982422	-55.430378
2912.365723	-34.646294
2917.749023	-31.139805
2923.132324	-39.951427
2928.515625	-61.903324
2933.898926	-61.228462
2939.282227	-61.051956
2944.665527	-63.533440
2950.048828	-59.833542
2955.432129	-58.310318
2960.815430	-63.846798
2966.198730	-66.289024
2971.582031	-64.471703
2976.965332	-66.005814
2982.348633	-67.931084
2987.731934	-72.420822
2993.115234	-65.868515
2998.498535	-66.895546
3003.881836	-64.952362
3009.265137	-62.008453
3014.648438	-57.987976
3020.031738	-57.417240
3025.415039	-64.270401
3030.798340	-69.276787
3036.181641	-65.548340
3041.564941	-67.177467
3046.948242	-65.034943
3052.331543	-62.601482
3057.714844	-58.007683
3063.098145	-58.213879
3068.481445	-58.872742
3073.864746	-58.043770
3079.248047	-62.165642
3084.631348	-67.345581
3090.014648	-66.167381
3095.397949	-63.904907
3100.781250	-63.098633
3106.164551	-60.354450
3111.547852	-60.174503
3116.931152	-64.306931
3122.314453	-63.659294
3127.697754	-64.403206
3133.081055	-65.419197
3138.464355	-61.388378
3143.847656	-58.309986
3149.230957	-60.948891
3154.614258	-61.778900
3159.997559	-61.762447
3165.380859	-55.286922
3170.764160	-55.496632
3176.147461	-64.353363
3181.530762	-67.153015
3186.914062	-58.480282
3192.297363	-56.481487
3197.680664	-65.850288
3203.063965	-52.963360
3208.447266	-55.139175
3213.830566	-52.086796
3219.213867	-47.453560
3224.597168	-32.445045
3229.980469	-26.287525
3235.363770	-30.650148
3240.747070	-42.444187
3246.130371	-45.969494
3251.513672	-50.346672
3256.896973	-52.958313
3262.280273	-63.341896
3267.663574	-52.004700
3273.046875	-51.291737
3278.430176	-51.112465
3283.813477	-52.472988
3289.196777	-59.959446
3294.580078	-70.761879
3299.963379	-68.053459
3305.346680	-59.017704
3310.729980	-56.711998
3316.113281	-59.735889
3321.496582	-57.822338
3326.879883	-59.410606
3332.263184	-57.449009
3337.646484	-52.760620
3343.029785	-54.393852
3348.413086	-56.579529
3353.796387	-56.024612
3359.179688	-53.372971
3364.562988	-52.677338
3369.946289	-54.408291
3375.329590	-45.703789
3380.712891	-36.743286
3386.096191	-22.588736
3391.479492	-19.723524
3396.862793	-28.894444
3402.246094	-42.434410
3407.629395	-48.514362
3413.012695	-53.204288
3418.395996	-51.780205
3423.779297	-55.765686
3429.162598	-62.434792
3434.545898	-63.813522
3439.929199	-61.584724
3445.312500	-56.186562
3450.695801	-58.440205
3456.079102	-64.967056
3461.462402	-63.480671
3466.845703	-65.551353
3472.229004	-70.798851
3477.612305	-64.774231
3482.995605	-65.184113
3488.378906	-66.609138
3493.762207	-62.982208
3499.145508	-73.021736
3504.528809	-66.069687
3509.912109	-68.031891
3515.295410	-65.090172
3520.678711	-61.109627
3526.062012	-62.825523
3531.445312	-60.970043
3536.828613	-58.514969
3542.211914	-59.787754
3547.595215	-66.628708
3552.978516	-65.334427
3558.361816	-64.327019
3563.745117	-67.173454
3569.128418	-63.301582
3574.511719	-64.950958
3579.895020	-72.758095
3585.278320	-65.233345
3590.661621	-62.320049
3596.044922	-65.656807
3601.428223	-66.230637
3606.811523	-75.959167
3612.194824	-65.211945
3617.578125	-60.576744
3622.961426	-60.114391
3628.344727	-62.719093
3633.728027	-66.472794
3639.111328	-66.547981
3644.494629	-67.029884
3649.877930	-65.630196
3655.261230	-59.795052
3660.644531	-61.119049
3666.027832	-75.524117
3671.411133	-65.288925
3676.794434	-62.118164
3682.177734	-67.803268
3687.561035	-79.281807
3692.944336	-75.499130
3698.327637	-71.986649
3703.710938	-74.104630
3709.094238	-70.298050
3714.477539	-63.975189
3719.860840	-65.669174
3725.244141	-73.819939
3730.627441	-67.352158
3736.010742	-70.751686
3741.394043	-70.457352
3746.777344	-65.048302
3752.160645	-73.318169
3757.543945	-69.225418
3762.927246	-65.719643
3768.310547	-73.365784
3773.693848	-73.673241
3779.077148	-73.599724
3784.460449	-71.503708
3789.843750	-79.997826
3795.227051	-71.158768
3800.610352	-69.685448
3805.993652	-66.295525
3811.376953	-64.830452
3816.760254	-68.181999
3822.143555	-74.337166
3827.526855	-76.114502
3832.910156	-83.346725
3838.293457	-73.093445
3843.676758	-74.014755
3849.060059	-72.614784
3854.443359	-77.504829
3859.826660	-78.080620
3865.209961	-79.270393
3870.593262	-79.644058
3875.976562	-70.615318
3881.359863	-65.362427
3886.743164	-64.252792
3892.126465	-65.661316
3897.509766	-69.358864
3902.893066	-77.692558
3908.276367	-75.158211
3913.659668	-74.912956
3919.042969	-75.036049
3924.426270	-67.977531
3929.809570	-68.625809
3935.192871	-69.858200
3940.576172	-72.074120
3945.959473	-76.737823
3951.342773	-70.821945
3956.726074	-67.871078
3962.109375	-71.551643
3967.492676	-80.603050
3972.875977	-72.081673
3978.259277	-76.164688
3983.642578	-73.391907
3989.025879	-72.282448
3994.409180	-71.365097
3999.792480	-70.183212
4005.175781	-68.073509
4010.559082	-67.257927
4015.942383	-67.198837
4021.325684	-77.193085
4026.708984	-75.314865
4032.092285	-83.507759
4037.475586	-82.806252
4042.858887	-80.502083
4048.242188	-80.510536
4053.625488	-69.040771
4059.008789	-69.129738
4064.392090	-75.265984
4069.775391	-70.081856
4075.158691	-67.629013
4080.541992	-71.437767
4085.925293	-71.324829
4091.308594	-72.545616
4096.691895	-75.691902
4102.075195	-75.942337
4107.458496	-92.300804
4112.841797	-70.067909
4118.225098	-68.101311
4123.608398	-68.973038
4128.991699	-68.509224
4134.375000	-69.080765
4139.758301	-71.889793
4145.141602	-78.215424
4150.524902	-80.818596
4155.908203	-73.699150
4161.291504	-70.509338
4166.674805	-67.341995
4172.058105	-67.974144
4177.441406	-70.689705
4182.824707	-76.435204
4188.208008	-70.232681
4193.591309	-72.371948
4198.974609	-74.679619
4204.357910	-77.793495
4209.741211	-76.477722
4215.124512	-66.669373
4220.507812	-71.666672
4225.891113	-84.352089
4231.274414	-77.649063
4236.657715	-82.567329
4242.041016	-77.296463
4247.424316	-76.306160
4252.807617	-73.877159
4258.190918	-72.514305
4263.574219	-77.121162
4268.957520	-78.507973
4274.340820	-82.497780
4279.724121	-77.610107
4285.107422	-79.166893
4290.490723	-74.276436
4295.874023	-76.188858
4301.257324	-80.211746
4306.640625	-73.071930
4312.023926	-76.587387
4317.407227	-71.027916
4322.790527	-69.738930
4328.173828	-74.057823
4333.557129	-83.175568
4338.940430	-74.756439
4344.323730	-76.005165
4349.707031	-82.363197
4355.090332	-75.939980
4360.473633	-79.482002
4365.856934	-77.687218
4371.240234	-78.555305
4376.623535	-86.395218
4382.006836	-86.450958
4387.390137	-83.457634
4392.773438	-79.378212
4398.156738	-75.606552
4403.540039	-74.975441
4408.923340	-76.534836
4414.306641	-76.606705
4419.689941	-79.314384
4425.073242	-95.405754
4430.456543	-77.691826
4435.839844	-75.403862
4441.223145	-80.120201
4446.606445	-76.992485
4451.989746	-72.737961
4457.373047	-72.618774
4462.756348	-72.252281
4468.139648	-76.393097
4473.522949	-81.650452
4478.906250	-88.275696
4484.289551	-84.479355
4489.672852	-77.011009
4495.056152	-82.523163
4500.439453	-77.297119
4505.822754	-72.589249
4511.206055	-70.986313
4516.589355	-72.391106
4521.972656	-72.522575
4527.355957	-71.061249
4532.739258	-71.666679
4538.122559	-74.489235
4543.505859	-87.647240
4548.889160	-73.688126
4554.272461	-70.088860
4559.655762	-76.560143
4565.039062	-80.030106
4570.422363	-80.824753
4575.805664	-86.121849
4581.188965	-96.975616
4586.572266	-77.795059
4591.955566	-75.583473
4597.338867	-80.580498
4602.722168	-81.752548
4608.105469	-77.618561
4613.488770	-76.417374
4618.872070	-79.272156
4624.255371	-81.875053
4629.638672	-80.091667
4635.021973	-80.690765
4640.405273	-80.202591
4645.788574	-77.619911
4651.171875	-81.648705
4656.555176	-81.047768
4661.938477	-79.052132
4667.321777	-81.181641
4672.705078	-85.912003
4678.088379	-88.018166
4683.471680	-88.927971
4688.854980	-91.747871
4694.238281	-90.590019
4699.621582	-81.529175
4705.004883	-81.275787
4710.388184	-92.485741
4715.771484	-81.886398
4721.154785	-78.516792
4726.538086	-83.663101
4731.921387	-86.133514
4737.304688	-78.847359
4742.687988	-74.089806
4748.071289	-73.597176
4753.454590	-77.035095
4758.837891	-79.170433
4764.221191	-77.368004
4769.604492	-78.458794
4774.987793	-80.357033
4780.371094	-79.180176
4785.754395	-77.738243
4791.137695	-77.716446
4796.520996	-79.063850
4801.904297	-81.417336
4807.287598	-84.513885
4812.670898	-85.641235
4818.054199	-85.208733
4823.437500	-78.435402
4828.820801	-78.896904
4834.204102	-83.563362
4839.587402	-79.278999
4844.970703	-73.624840
4850.354004	-72.850609
4855.737305	-76.380219
4861.120605	-82.278542
4866.503906	-86.764061
4871.887207	-74.625168
4877.270508	-72.090088
4882.653809	-75.072998
4888.037109	-87.513397
4893.420410	-77.946419
4898.803711	-73.554726
4904.187012	-78.996819
4909.570312	-82.400299
4914.953613	-86.038948
4920.336914	-80.704750
4925.720215	-83.832596
4931.103516	-80.441238
4936.486816	-79.569527
4941.870117	-89.364983
4947.253418	-84.979004
4952.636719	-82.916885
4958.020020	-81.202248
4963.403320	-73.838974
4968.786621	-73.200058
4974.169922	-76.266205
4979.553223	-83.589294
4984.936523	-71.660004
4990.319824	-71.432068
4995.703125	-75.694008
5001.086426	-73.563705
5006.469727	-77.140198
5011.853027	-81.640221
5017.236328	-75.497833
5022.619629	-90.273178
5028.002930	-76.903931
5033.386230	-84.937355
5038.769531	-74.195297
5044.152832	-74.717743
5049.536133	-80.710136
5054.919434	-72.573280
5060.302734	-72.099915
5065.686035	-77.590027
5071.069336	-87.396477
5076.452637	-79.391357
5081.835938	-79.058998
5087.219238	-77.634903
5092.602539	-79.439026
5097.985840	-84.235977
5103.369141	-75.411301
5108.752441	-69.349602
5114.135742	-69.036774
5119.519043	-70.389221
5124.902344	-73.272064
5130.285645	-65.187904
5135.668945	-64.551071
5141.052246	-62.768986
5146.435547	-69.374649
5151.818848	-69.415771
5157.202148	-78.339188
5162.585449	-74.276794
5167.968750	-75.827972
5173.352051	-80.144279
5178.735352	-76.432175
5184.118652	-78.720474
5189.501953	-70.978340
5194.885254	-74.104515
5200.268555	-70.295151
5205.651855	-70.290680
5211.035156	-62.043873
5216.418457	-57.754436
5221.801758	-44.658810
5227.185059	-40.911457
5232.568359	-45.860237
5237.951660	-57.685177
5243.334961	-68.192001
5248.718262	-72.209991
5254.101562	-75.340157
5259.484863	-67.678505
5264.868164	-76.166084
5270.251465	-74.813942
5275.634766	-76.607155
5281.018066	-79.443466
5286.401367	-79.360390
5291.784668	-78.360756
5297.167969	-79.933762
5302.551270	-77.127556
5307.934570	-75.474144
5313.317871	-77.362633
5318.701172	-86.203178
5324.084473	-74.835182
5329.467773	-76.835258
5334.851074	-80.024963
