Frequency (Hz)	Level (dB)
1512.707520	-72.043373
1518.090820	-90.167267
1523.474121	-79.488998
1528.857422	-80.659958
1534.240723	-73.609131
1539.624023	-69.919495
1545.007324	-71.882172
1550.390625	-78.217537
1555.773926	-78.068016
1561.157227	-75.234390
1566.540527	-70.827454
1571.923828	-69.369286
1577.307129	-68.431816
1582.690430	-71.415733
1588.073730	-82.039963
1593.457031	-72.928642
1598.840332	-70.939003
1604.223633	-74.799110
1609.606934	-71.437088
1614.990234	-75.270424
1620.373535	-81.893303
1625.756836	-74.384972
1631.140137	-76.557449
1636.523438	-67.627510
1641.906738	-68.123634
1647.290039	-73.418114
1652.673340	-69.415680
1658.056641	-67.400185
1663.439941	-66.839172
1668.823242	-68.653564
1674.206543	-73.796913
1679.589844	-72.003777
1684.973145	-71.551857
1690.356445	-67.974358
1695.739746	-68.756111
1701.123047	-69.799698
1706.506348	-70.066719
1711.889648	-64.304810
1717.272949	-65.084572
1722.656250	-65.884056
1728.039551	-63.213425
1733.422852	-62.437031
1738.806152	-62.748528
1744.189453	-55.567226
1749.572754	-51.308544
1754.956055	-37.655323
1760.339355	-24.590590
1765.722656	-25.120197
1771.105957	-39.671730
1776.489258	-55.634514
1781.872559	-54.852982
1787.255859	-56.212784
1792.639160	-60.291328
1798.022461	-66.333679
1803.405762	-64.701782
1808.789062	-64.248413
1814.172363	-70.929871
1819.555664	-73.876160
1824.938965	-71.817696
1830.322266	-73.766403
1835.705566	-67.670097
1841.088867	-70.096222
1846.472168	-75.582191
1851.855469	-71.150024
1857.238770	-72.447197
1862.622070	-69.475677
1868.005371	-70.251228
1873.388672	-77.125160
1878.771973	-78.074966
1884.155273	-75.853020
1889.538574	-76.437546
1894.921875	-73.057228
1900.305176	-69.051048
1905.688477	-70.355202
1911.071777	-73.753387
1916.455078	-76.380417
1921.838379	-83.771851
1927.221680	-82.878586
1932.604980	-80.689713
1937.988281	-81.010124
1943.371582	-80.606049
1948.754883	-76.348587
1954.138184	-74.854568
1959.521484	-78.693771
1964.904785	-69.454102
1970.288086	-69.124321
1975.671387	-73.580215
1981.054688	-75.680725
1986.437988	-71.754745
1991.821289	-70.583267
1997.204590	-76.884308
2002.587891	-71.478043
2007.971191	-72.654961
2013.354492	-74.667267
2018.737793	-77.409859
2024.121094	-87.419418
2029.504395	-77.572083
2034.887695	-82.757095
2040.270996	-74.712814
2045.654297	-71.100098
2051.037598	-74.677406
2056.420898	-76.513702
2061.804199	-73.129753
2067.187500	-73.085014
2072.570801	-85.545044
2077.954102	-86.098648
2083.337402	-85.731384
2088.720703	-80.633141
