Frequency (Hz)	Level (dB)
1512.707520	-67.624962
1518.090820	-68.420738
1523.474121	-63.456688
1528.857422	-54.067192
1534.240723	-36.819260
1539.624023	-35.669262
1545.007324	-47.797585
1550.390625	-65.404625
1555.773926	-67.702286
1561.157227	-70.264999
1566.540527	-68.229080
1571.923828	-79.649040
1577.307129	-77.786812
1582.690430	-70.147125
1588.073730	-66.820320
1593.457031	-66.409782
1598.840332	-72.545326
1604.223633	-78.209366
1609.606934	-78.849922
1614.990234	-82.414062
1620.373535	-80.690750
1625.756836	-84.120567
1631.140137	-82.688927
1636.523438	-77.923340
1641.906738	-75.159317
1647.290039	-73.448715
1652.673340	-80.526558
1658.056641	-83.998260
1663.439941	-81.114311
1668.823242	-76.669579
1674.206543	-79.893440
1679.589844	-74.114746
1684.973145	-88.011742
1690.356445	-93.273369
1695.739746	-90.596054
1701.123047	-82.950256
1706.506348	-80.367554
1711.889648	-79.375092
1717.272949	-88.217468
1722.656250	-95.677155
1728.039551	-89.530296
1733.422852	-80.918289
1738.806152	-77.826820
1744.189453	-91.678261
1749.572754	-78.991295
1754.956055	-75.849251
1760.339355	-74.842438
1765.722656	-75.489815
1771.105957	-76.996674
1776.489258	-80.800140
1781.872559	-83.628792
1787.255859	-80.685844
1792.639160	-75.309486
1798.022461	-75.834305
1803.405762	-83.310509
1808.789062	-72.439049
1814.172363	-71.750435
1819.555664	-76.385124
1824.938965	-82.862877
1830.322266	-82.971901
1835.705566	-81.210823
1841.088867	-78.055138
1846.472168	-84.020363
1851.855469	-78.636017
1857.238770	-83.509354
1862.622070	-81.213394
1868.005371	-77.558968
1873.388672	-78.692062
1878.771973	-86.802437
1884.155273	-84.082367
1889.538574	-78.857437
1894.921875	-76.999275
1900.305176	-77.137398
1905.688477	-85.669884
1911.071777	-101.853165
1916.455078	-85.153999
1921.838379	-78.897400
1927.221680	-81.524384
1932.604980	-95.882324
1937.988281	-83.876724
1943.371582	-76.554878
1948.754883	-81.438255
1954.138184	-82.623756
1959.521484	-85.382133
1964.904785	-86.968208
1970.288086	-84.323563
1975.671387	-74.205948
1981.054688	-72.041405
1986.437988	-79.427177
1991.821289	-85.185585
1997.204590	-91.185326
2002.587891	-83.050812
2007.971191	-84.968994
2013.354492	-85.683617
2018.737793	-79.598099
2024.121094	-77.159889
2029.504395	-76.682129
2034.887695	-82.032372
2040.270996	-70.451195
2045.654297	-78.949249
2051.037598	-74.264023
2056.420898	-79.598785
2061.804199	-77.841255
2067.187500	-83.238327
2072.570801	-81.186707
2077.954102	-80.623772
2083.337402	-76.297050
2088.720703	-81.377846
2094.104004	-78.584518
2099.487305	-73.475647
2104.870605	-71.196686
2110.253906	-67.463600
2115.637207	-68.133179
2121.020508	-69.946243
2126.403809	-78.907097
2131.787109	-88.991684
2137.170410	-83.982864
2142.553711	-81.215546
2147.937012	-82.706146
2153.320312	-78.403290
2158.703613	-77.021095
2164.086914	-75.389206
2169.470215	-78.039055
2174.853516	-84.139557
