Frequency (Hz)	Level (dB)
1512.707520	-81.789871
1518.090820	-77.764954
1523.474121	-77.331970
1528.857422	-88.628410
1534.240723	-81.277588
1539.624023	-75.339172
1545.007324	-78.346977
1550.390625	-84.522987
1555.773926	-91.995445
1561.157227	-86.282684
1566.540527	-75.875839
1571.923828	-72.703873
1577.307129	-72.662781
1582.690430	-74.542976
1588.073730	-85.045532
1593.457031	-77.956886
1598.840332	-75.916252
1604.223633	-79.531731
1609.606934	-72.521698
1614.990234	-72.413078
1620.373535	-80.803802
1625.756836	-79.706284
1631.140137	-81.660797
1636.523438	-71.242218
1641.906738	-67.016304
1647.290039	-68.414719
1652.673340	-73.454727
1658.056641	-73.852814
1663.439941	-72.853416
1668.823242	-72.166496
1674.206543	-72.801559
1679.589844	-71.249870
1684.973145	-74.111115
1690.356445	-80.571625
1695.739746	-81.059998
1701.123047	-77.170113
1706.506348	-71.599464
1711.889648	-73.463577
1717.272949	-88.129997
1722.656250	-77.263268
1728.039551	-74.073296
1733.422852	-70.260529
1738.806152	-69.279205
1744.189453	-71.279938
1749.572754	-69.542831
1754.956055	-68.030930
1760.339355	-60.337261
1765.722656	-61.614944
1771.105957	-69.987320
1776.489258	-83.701340
1781.872559	-89.330872
1787.255859	-80.808594
1792.639160	-77.279129
1798.022461	-77.646919
1803.405762	-74.903000
1808.789062	-75.156998
1814.172363	-80.691925
1819.555664	-82.861893
1824.938965	-78.362511
1830.322266	-79.914680
1835.705566	-79.805283
1841.088867	-75.050781
1846.472168	-76.998344
1851.855469	-82.813477
1857.238770	-79.280312
1862.622070	-74.028824
1868.005371	-75.209915
1873.388672	-76.565163
1878.771973	-84.107597
1884.155273	-92.627602
1889.538574	-79.514854
1894.921875	-71.804764
1900.305176	-68.393471
1905.688477	-69.412788
1911.071777	-77.472763
1916.455078	-87.367760
1921.838379	-85.504593
1927.221680	-80.842171
1932.604980	-78.862144
1937.988281	-82.394791
1943.371582	-85.494316
1948.754883	-74.055046
1954.138184	-70.946472
1959.521484	-70.185364
1964.904785	-73.080795
1970.288086	-73.909393
1975.671387	-70.814690
1981.054688	-71.298241
1986.437988	-74.474693
1991.821289	-80.448631
1997.204590	-78.109261
2002.587891	-78.367081
2007.971191	-84.284172
2013.354492	-82.013016
2018.737793	-73.572212
2024.121094	-74.696411
2029.504395	-67.513786
2034.887695	-70.038628
2040.270996	-70.397896
2045.654297	-67.961159
2051.037598	-68.569405
2056.420898	-72.221909
2061.804199	-62.427788
2067.187500	-58.763538
2072.570801	-47.347847
2077.954102	-47.885006
2083.337402	-62.768436
2088.720703	-62.898083
2094.104004	-62.102940
2099.487305	-64.269241
2104.870605	-80.651665
2110.253906	-76.151520
2115.637207	-70.115005
2121.020508	-75.776215
2126.403809	-70.226471
2131.787109	-68.647812
2137.170410	-70.748314
2142.553711	-70.552765
2147.937012	-74.314651
2153.320312	-73.460663
2158.703613	-69.485641
2164.086914	-65.918846
2169.470215	-64.850815
2174.853516	-62.099277
2180.236816	-64.581146
2185.620117	-66.441223
2191.003418	-63.634724
2196.386719	-62.579990
2201.770020	-64.975624
2207.153320	-63.869221
2212.536621	-63.562630
2217.919922	-62.385948
2223.303223	-58.178135
2228.686523	-57.010872
2234.069824	-58.220623
2239.453125	-56.964756
2244.836426	-60.333565
2250.219727	-55.700214
2255.603027	-47.033455
2260.986328	-32.112331
2266.369629	-24.993429
2271.752930	-28.471159
2277.136230	-46.987213
2282.519531	-54.267490
2287.902832	-62.173103
2293.286133	-57.689274
2298.669434	-66.374168
2304.052734	-64.702698
2309.436035	-65.536804
2314.819336	-61.882023
2320.202637	-57.369118
2325.585938	-57.687981
2330.969238	-66.267799
2336.352539	-70.746071
2341.735840	-68.833717
2347.119141	-68.406822
2352.502441	-72.361961
2357.885742	-67.626434
2363.269043	-68.056038
2368.652344	-68.964737
2374.035645	-73.261070
2379.418945	-62.892857
2384.802246	-59.001904
2390.185547	-63.492634
2395.568848	-68.319771
2400.952148	-63.803867
2406.335449	-67.682526
2411.718750	-70.724907
2417.102051	-64.470337
2422.485352	-62.706852
2427.868652	-66.414864
2433.251953	-69.485504
2438.635254	-69.020752
2444.018555	-66.261292
2449.401855	-65.552483
2454.785156	-68.870995
2460.168457	-79.724953
2465.551758	-72.695595
2470.935059	-65.419739
2476.318359	-67.113564
2481.701660	-78.829750
2487.084961	-70.831291
2492.468262	-71.242256
2497.851562	-73.150406
2503.234863	-73.706001
2508.618164	-68.920601
2514.001465	-70.089149
2519.384766	-72.092331
2524.768066	-76.065323
2530.151367	-68.770302
2535.534668	-72.664032
2540.917969	-77.192902
2546.301270	-81.713425
2551.684570	-72.067299
2557.067871	-70.366882
2562.451172	-73.383171
2567.834473	-84.950462
2573.217773	-83.487991
2578.601074	-79.002075
2583.984375	-83.260063
2589.367676	-86.698875
2594.750977	-78.728256
2600.134277	-68.327209
2605.517578	-67.648514
2610.900879	-74.490005
2616.284180	-86.356613
2621.667480	-77.008873
2627.050781	-70.064224
2632.434082	-69.616577
2637.817383	-77.446518
2643.200684	-68.839157
2648.583984	-69.101967
2653.967285	-70.217346
2659.350586	-74.737732
2664.733887	-79.601517
2670.117188	-70.394081
2675.500488	-69.619614
2680.883789	-74.740028
2686.267090	-67.630341
2691.650391	-70.463127
2697.033691	-71.592003
2702.416992	-73.704765
2707.800293	-75.005455
2713.183594	-70.349083
2718.566895	-69.758812
2723.950195	-78.776894
2729.333496	-86.661003
2734.716797	-83.590286
2740.100098	-78.176659
2745.483398	-78.063286
2750.866699	-73.227699
2756.250000	-74.624840
2761.633301	-75.296501
2767.016602	-74.838913
2772.399902	-81.695694
2777.783203	-79.441887
2783.166504	-76.573708
2788.549805	-73.984428
2793.933105	-71.371872
2799.316406	-72.006302
2804.699707	-74.580879
2810.083008	-75.920715
2815.466309	-78.925156
2820.849609	-82.740532
2826.232910	-81.797523
2831.616211	-74.579742
2836.999512	-71.308441
2842.382812	-68.903008
2847.766113	-67.427750
2853.149414	-68.090553
2858.532715	-68.980400
2863.916016	-69.741333
